Time(UTC),TEC(TECU)
23-05-23 00:00,34.708619
23-05-23 00:01,30.491417
23-05-23 00:02,39.658834
23-05-23 00:03,35.441632
23-05-23 00:04,43.152543
23-05-23 00:05,36.269841
23-05-23 00:06,37.983377
23-05-23 00:07,30.967400
23-05-23 00:08,33.261634
23-05-23 00:09,36.050889
23-05-23 00:10,35.260759
23-05-23 00:11,30.072553
23-05-23 00:12,40.191934
23-05-23 00:13,43.866516
23-05-23 00:14,50.216118
23-05-23 00:15,47.560138
23-05-23 00:16,48.140836
23-05-23 00:17,46.779527
23-05-23 00:18,38.573595
23-05-23 00:19,49.730617
23-05-23 00:20,37.754905
23-05-23 00:21,30.024955
23-05-23 00:22,27.426092
23-05-23 00:23,32.766612
23-05-23 00:24,47.027038
23-05-23 00:25,57.593842
23-05-23 00:26,28.663646
23-05-23 00:27,34.956130
23-05-23 00:28,42.229138
23-05-23 00:29,35.013248
23-05-23 00:30,40.867829
23-05-23 00:31,42.400491
23-05-23 00:32,38.221368
23-05-23 00:33,38.878223
23-05-23 00:34,43.095425
23-05-23 00:35,36.774382
23-05-23 00:36,39.468441
23-05-23 00:37,40.982064
23-05-23 00:38,39.497000
23-05-23 00:39,39.754030
23-05-23 00:40,39.211411
23-05-23 00:41,43.514289
23-05-23 00:42,41.991147
23-05-23 00:43,43.419093
23-05-23 00:44,38.878223
23-05-23 00:45,37.574032
23-05-23 00:46,41.410448
23-05-23 00:47,43.790359
23-05-23 00:48,43.561888
23-05-23 00:49,35.270278
23-05-23 00:50,45.818043
23-05-23 00:51,44.475773
23-05-23 00:52,46.731929
23-05-23 00:53,42.790797
23-05-23 00:54,41.553243
23-05-23 00:55,52.453235
23-05-23 00:56,51.044327
23-05-23 00:57,44.285381
23-05-23 00:58,43.714202
23-05-23 00:59,51.682143
23-05-23 01:00,53.519435
23-05-23 01:01,46.665291
23-05-23 01:02,48.702495
23-05-23 01:03,49.092800
23-05-23 01:04,51.168083
23-05-23 01:05,46.998479
23-05-23 01:06,47.226950
23-05-23 01:07,52.748343
23-05-23 01:08,51.253759
23-05-23 01:09,50.387472
23-05-23 01:10,53.424238
23-05-23 01:11,51.577427
23-05-23 01:12,56.337249
23-05-23 01:13,53.938299
23-05-23 01:14,56.622838
23-05-23 01:15,50.358913
23-05-23 01:16,43.257259
23-05-23 01:17,55.556638
23-05-23 01:18,57.717597
23-05-23 01:19,54.109652
23-05-23 01:20,59.926155
23-05-23 01:21,49.425988
23-05-23 01:22,64.486064
23-05-23 01:23,56.413406
