Time(UTC),TEC_actual(TECU),Delay_actual_L1(m),TEC_LSTM(TECU),Delay_LSTM_L1(m),TEC_Transformer(TECU),Delay_Transformer_L1(m)
00:00,27.026266,4.38919210,82.111160,13.33523750,21.618141,3.51088738
00:01,34.584866,5.61674404,75.847984,12.31806850,25.524616,4.14531708
00:02,34.451588,5.59509945,68.769928,11.16855812,25.344547,4.11607313
00:03,32.976044,5.35546398,61.573822,9.99987698,25.756042,4.18290186
00:04,26.569324,4.31498289,54.849289,8.90778160,27.623402,4.48616982
00:05,30.339104,4.92721272,49.150547,7.98227930,25.119579,4.07953739
00:06,30.710369,4.98750782,44.516121,7.22962666,25.990372,4.22095823
00:07,35.831936,5.81927443,40.941750,6.64913177,25.707336,4.17499208
00:08,38.335606,6.22588205,38.018047,6.17430925,26.596199,4.31934738
00:09,30.586615,4.96740961,35.757313,5.80715513,28.359142,4.60565758
00:10,35.670101,5.79299164,34.014931,5.52418423,29.890030,4.85428095
00:11,33.823292,5.49306107,32.799156,5.32673645,29.795341,4.83890295
00:12,35.060844,5.69404554,32.155571,5.22221565,29.644993,4.81448555
00:13,40.448963,6.56910133,32.152313,5.22168636,28.322109,4.59964323
00:14,32.509583,5.27970839,32.447514,5.26962805,28.308434,4.59742212
00:15,32.595261,5.29362297,32.692753,5.30945635,28.380630,4.60914755
00:16,34.937092,5.67394733,32.913212,5.34525967,28.869350,4.68851757
00:17,37.088531,6.02335119,33.351166,5.41638565,29.772850,4.83525038
00:18,38.840145,6.30782175,33.761806,5.48307562,30.814419,5.00440598
00:19,45.408699,7.37458563,34.028259,5.52634859,31.601971,5.13230801
00:20,40.943985,6.64949512,34.198364,5.55397463,36.845459,5.98387527
00:21,44.399616,7.21070576,34.304310,5.57118082,35.853008,5.82269669
00:22,40.715515,6.61239052,34.607685,5.62045002,36.056114,5.85568190
00:23,43.028790,6.98807716,35.289661,5.73120642,34.608917,5.62065029
00:24,45.951317,7.46270943,35.914570,5.83269453,34.637051,5.62521935
00:25,47.103195,7.64977980,36.727581,5.96473122,34.475765,5.59902573
00:26,40.268089,6.53972626,37.430607,6.07890606,31.758553,5.15773773
00:27,45.313503,7.35912514,37.897526,6.15473557,33.145958,5.38305902
00:28,45.722847,7.42560482,38.287476,6.21806526,33.622593,5.46046686
00:29,48.921448,7.94507217,38.642067,6.27565289,34.486832,5.60082293
00:30,40.877350,6.63867331,38.851097,6.30960035,39.126637,6.35434914
00:31,47.169834,7.66060209,39.097107,6.34955359,39.887157,6.47786140
00:32,50.416031,8.18779945,39.446320,6.40626717,39.425995,6.40296650
00:33,47.436382,7.70389080,39.940506,6.48652554,40.280029,6.54166555
00:34,59.659603,9.68899918,40.260017,6.53841543,40.432919,6.56649542
00:35,55.023537,8.93607998,40.397697,6.56077528,39.176121,6.36238575
00:36,48.702496,7.90951347,40.561081,6.58730984,37.560646,6.10002470
00:37,44.094990,7.16123295,40.807266,6.62729120,36.139526,5.86922836
00:38,44.989834,7.30656004,41.696354,6.77168322,36.940197,5.99926090
00:39,54.014458,8.77220058,42.715321,6.93716812,34.008911,5.52320671
00:40,53.300484,8.65624809,43.294106,7.03116560,39.103962,6.35066652
00:41,52.596027,8.54184151,43.535522,7.07037306,41.542812,6.74674749
00:42,60.459255,9.81886673,43.714027,7.09936285,43.028374,6.98800945
00:43,54.242928,8.80930519,44.053947,7.15456772,44.571415,7.23860645
00:44,47.483982,7.71162128,44.653454,7.25193024,43.999519,7.14572811
00:45,50.682583,8.23108864,45.303249,7.35746002,41.349415,6.71533871
00:46,46.789047,7.59876060,46.196709,7.50256205,40.324612,6.54890585
00:47,60.087990,9.75857067,46.988186,7.63110161,40.024097,6.50010109
00:48,66.513748,10.80214405,47.164951,7.65980911,39.894211,6.47900677
00:49,58.688602,9.53130436,46.901474,7.61701918,39.732616,6.45276308
00:50,73.386932,11.91838169,46.329708,7.52416182,43.671192,7.09240627
00:51,54.890263,8.91443634,46.147606,7.49458742,45.223957,7.34458256
00:52,66.409035,10.78513813,46.855515,7.60955524,48.560776,7.88649750
00:53,55.908867,9.07986164,47.886959,7.77706671,47.014641,7.63539791
00:54,27.844957,4.52215147,48.907757,7.94284868,46.690868,7.58281565
00:55,28.739803,4.66747856,50.069321,8.13149261,45.406601,7.37424469
00:56,29.320501,4.76178694,51.017303,8.28544903,43.026260,6.98766613
00:57,29.149149,4.73395824,51.798965,8.41239452,42.188545,6.85161734
00:58,30.377182,4.93339682,51.254841,8.32402611,39.698872,6.44728279
00:59,29.406178,4.77570105,49.728695,8.07617283,40.963818,6.65271616
01:00,34.784779,5.64921093,47.579086,7.72706652,37.604916,6.10721445
01:01,30.891241,5.01688242,45.150551,7.33266115,37.835602,6.14467907
01:02,34.889492,5.66621685,42.731533,6.93980122,40.002632,6.49661493
